x,y,model,estimate,model_new
0,0.30952380952380953,Lasso,0.911,Lasso (0.911)
0,0.3333333333333333,Lasso,0.911,Lasso (0.911)
0,0.34523809523809523,Lasso,0.911,Lasso (0.911)
0,0.35714285714285715,Lasso,0.911,Lasso (0.911)
0,0.36904761904761907,Lasso,0.911,Lasso (0.911)
0,0.38095238095238093,Lasso,0.911,Lasso (0.911)
0,0.40476190476190477,Lasso,0.911,Lasso (0.911)
0,0.4166666666666667,Lasso,0.911,Lasso (0.911)
0,0.42857142857142855,Lasso,0.911,Lasso (0.911)
0,0.44047619047619047,Lasso,0.911,Lasso (0.911)
0,0.4523809523809524,Lasso,0.911,Lasso (0.911)
0,0.4642857142857143,Lasso,0.911,Lasso (0.911)
0,0.47619047619047616,Lasso,0.911,Lasso (0.911)
0,0.4880952380952381,Lasso,0.911,Lasso (0.911)
0,0.5,Lasso,0.911,Lasso (0.911)
0,0.5119047619047619,Lasso,0.911,Lasso (0.911)
0,0.5238095238095238,Lasso,0.911,Lasso (0.911)
0,0.5357142857142857,Lasso,0.911,Lasso (0.911)
0,0.5476190476190477,Lasso,0.911,Lasso (0.911)
0,0.5595238095238095,Lasso,0.911,Lasso (0.911)
0,0.5714285714285714,Lasso,0.911,Lasso (0.911)
0,0.5833333333333334,Lasso,0.911,Lasso (0.911)
0,0.5952380952380952,Lasso,0.911,Lasso (0.911)
0,0.6071428571428571,Lasso,0.911,Lasso (0.911)
0,0.6190476190476191,Lasso,0.911,Lasso (0.911)
0,0.6309523809523809,Lasso,0.911,Lasso (0.911)
0,0.6428571428571429,Lasso,0.911,Lasso (0.911)
0,0.6547619047619048,Lasso,0.911,Lasso (0.911)
0.047619047619047616,0.6547619047619048,Lasso,0.911,Lasso (0.911)
0.047619047619047616,0.6666666666666666,Lasso,0.911,Lasso (0.911)
0.047619047619047616,0.6785714285714286,Lasso,0.911,Lasso (0.911)
0.047619047619047616,0.6904761904761905,Lasso,0.911,Lasso (0.911)
0.047619047619047616,0.7023809523809523,Lasso,0.911,Lasso (0.911)
0.047619047619047616,0.7142857142857143,Lasso,0.911,Lasso (0.911)
0.047619047619047616,0.7261904761904762,Lasso,0.911,Lasso (0.911)
0.047619047619047616,0.7380952380952381,Lasso,0.911,Lasso (0.911)
0.047619047619047616,0.75,Lasso,0.911,Lasso (0.911)
0.047619047619047616,0.7619047619047619,Lasso,0.911,Lasso (0.911)
0.047619047619047616,0.7738095238095238,Lasso,0.911,Lasso (0.911)
0.047619047619047616,0.7857142857142857,Lasso,0.911,Lasso (0.911)
0.047619047619047616,0.7976190476190477,Lasso,0.911,Lasso (0.911)
0.09523809523809523,0.7976190476190477,Lasso,0.911,Lasso (0.911)
0.09523809523809523,0.8095238095238095,Lasso,0.911,Lasso (0.911)
0.14285714285714285,0.8095238095238095,Lasso,0.911,Lasso (0.911)
0.14285714285714285,0.8214285714285714,Lasso,0.911,Lasso (0.911)
0.19047619047619047,0.8214285714285714,Lasso,0.911,Lasso (0.911)
0.19047619047619047,0.8333333333333334,Lasso,0.911,Lasso (0.911)
0.23809523809523808,0.8333333333333334,Lasso,0.911,Lasso (0.911)
0.23809523809523808,0.8452380952380952,Lasso,0.911,Lasso (0.911)
0.23809523809523808,0.8571428571428571,Lasso,0.911,Lasso (0.911)
0.23809523809523808,0.8690476190476191,Lasso,0.911,Lasso (0.911)
0.23809523809523808,0.8809523809523809,Lasso,0.911,Lasso (0.911)
0.2857142857142857,0.8809523809523809,Lasso,0.911,Lasso (0.911)
0.2857142857142857,0.8928571428571429,Lasso,0.911,Lasso (0.911)
0.3333333333333333,0.8928571428571429,Lasso,0.911,Lasso (0.911)
0.3333333333333333,0.9047619047619048,Lasso,0.911,Lasso (0.911)
0.38095238095238093,0.9047619047619048,Lasso,0.911,Lasso (0.911)
0.42857142857142855,0.9047619047619048,Lasso,0.911,Lasso (0.911)
0.42857142857142855,0.9166666666666666,Lasso,0.911,Lasso (0.911)
0.47619047619047616,0.9166666666666666,Lasso,0.911,Lasso (0.911)
0.47619047619047616,0.9285714285714286,Lasso,0.911,Lasso (0.911)
0.5238095238095238,0.9285714285714286,Lasso,0.911,Lasso (0.911)
0.5238095238095238,0.9404761904761905,Lasso,0.911,Lasso (0.911)
0.5714285714285714,0.9404761904761905,Lasso,0.911,Lasso (0.911)
0.6190476190476191,0.9404761904761905,Lasso,0.911,Lasso (0.911)
0.6190476190476191,0.9523809523809523,Lasso,0.911,Lasso (0.911)
0.6666666666666666,0.9523809523809523,Lasso,0.911,Lasso (0.911)
0.6666666666666666,0.9642857142857143,Lasso,0.911,Lasso (0.911)
0.6666666666666666,0.9761904761904762,Lasso,0.911,Lasso (0.911)
0.7142857142857143,0.9761904761904762,Lasso,0.911,Lasso (0.911)
0.7619047619047619,0.9761904761904762,Lasso,0.911,Lasso (0.911)
0.7619047619047619,0.9880952380952381,Lasso,0.911,Lasso (0.911)
0.7619047619047619,1,Lasso,0.911,Lasso (0.911)
0.8095238095238095,1,Lasso,0.911,Lasso (0.911)
0.8571428571428571,1,Lasso,0.911,Lasso (0.911)
0.9047619047619048,1,Lasso,0.911,Lasso (0.911)
0.9523809523809523,1,Lasso,0.911,Lasso (0.911)
1,1,Lasso,0.911,Lasso (0.911)
0,0,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.011904761904761904,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.023809523809523808,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.03571428571428571,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.047619047619047616,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.05952380952380952,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.07142857142857142,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.08333333333333333,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.09523809523809523,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.10714285714285714,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.11904761904761904,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.13095238095238096,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.14285714285714285,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.15476190476190477,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.17857142857142858,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.19047619047619047,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.20238095238095238,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.21428571428571427,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.2261904761904762,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.23809523809523808,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.25,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.2619047619047619,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.27380952380952384,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.2857142857142857,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.2976190476190476,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.30952380952380953,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.32142857142857145,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.3333333333333333,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.34523809523809523,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.35714285714285715,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.36904761904761907,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.38095238095238093,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.39285714285714285,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.4166666666666667,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.42857142857142855,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.4523809523809524,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.4642857142857143,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.47619047619047616,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.4880952380952381,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.5,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.5238095238095238,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.5357142857142857,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.5476190476190477,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.5595238095238095,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.5714285714285714,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.5833333333333334,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.5952380952380952,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.6071428571428571,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.6190476190476191,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.6309523809523809,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.6428571428571429,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.6547619047619048,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.6666666666666666,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.6785714285714286,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.6904761904761905,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.7023809523809523,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.7142857142857143,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.7261904761904762,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.7380952380952381,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0,0.75,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0.047619047619047616,0.75,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0.047619047619047616,0.7619047619047619,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0.047619047619047616,0.7738095238095238,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0.047619047619047616,0.7857142857142857,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0.09523809523809523,0.7857142857142857,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0.14285714285714285,0.7857142857142857,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0.19047619047619047,0.7857142857142857,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0.19047619047619047,0.7976190476190477,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0.23809523809523808,0.7976190476190477,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0.2857142857142857,0.7976190476190477,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
0.3333333333333333,0.7976190476190477,Multi-layer neural network,0.876,Multi-layer neural network (0.876)
